category,metric,hour,value
arrivals,stdev,0,1.595403
arrivals,stdev,1,1.407999
arrivals,stdev,2,1.251971
arrivals,stdev,3,0.998494
arrivals,stdev,4,1.036196
arrivals,stdev,5,0.994457
arrivals,stdev,6,1.088769
arrivals,stdev,7,1.355766
arrivals,stdev,8,2.023945
arrivals,stdev,9,2.660161
arrivals,stdev,10,2.490718
arrivals,stdev,11,2.48008
arrivals,stdev,12,2.255831
arrivals,stdev,13,2.201422
arrivals,stdev,14,2.231474
arrivals,stdev,15,2.13481
arrivals,stdev,16,2.53359
arrivals,stdev,17,2.842926
arrivals,stdev,18,2.647741
arrivals,stdev,19,2.737299
arrivals,stdev,20,2.586787
arrivals,stdev,21,2.200722
arrivals,stdev,22,2.072588
arrivals,stdev,23,1.956263
bed_assignment,mean,0,3.256831
bed_assignment,mean,1,2.39071
bed_assignment,mean,2,1.639344
bed_assignment,mean,3,0.978142
bed_assignment,mean,4,1.125683
bed_assignment,mean,5,0.956284
bed_assignment,mean,6,0.978142
bed_assignment,mean,7,1.420765
bed_assignment,mean,8,2.401639
bed_assignment,mean,9,3.224044
bed_assignment,mean,10,3.964481
bed_assignment,mean,11,4.412568
bed_assignment,mean,12,4.237705
bed_assignment,mean,13,4.169399
bed_assignment,mean,14,4.185792
bed_assignment,mean,15,4.464481
bed_assignment,mean,16,5.021858
bed_assignment,mean,17,5.095628
bed_assignment,mean,18,5.068306
bed_assignment,mean,19,5.543716
bed_assignment,mean,20,5.357923
bed_assignment,mean,21,4.967213
bed_assignment,mean,22,4.464481
bed_assignment,mean,23,3.959016
bed_assignment,median,0,3
bed_assignment,median,1,2
bed_assignment,median,2,1
bed_assignment,median,3,1
bed_assignment,median,4,1
bed_assignment,median,5,1
bed_assignment,median,6,1
bed_assignment,median,7,1
bed_assignment,median,8,2
bed_assignment,median,9,3
bed_assignment,median,10,4
bed_assignment,median,11,4
bed_assignment,median,12,4
bed_assignment,median,13,4
bed_assignment,median,14,4
bed_assignment,median,15,4
bed_assignment,median,16,5
bed_assignment,median,17,5
bed_assignment,median,18,5
bed_assignment,median,19,5
